timestamp,cpu_usage,memory_usage,response_time,error_rate
2025-07-08 12:14:19.813342,47.99,45.52,198.22,0.18
2025-07-08 12:15:19.813342,33.87,45.13,180.03,0.2
2025-07-08 12:16:19.813342,34.82,50.0,151.51,0.49
2025-07-08 12:17:19.813342,40.07,43.35,166.62,0.18
2025-07-08 12:18:19.813342,35.6,47.11,134.74,0.42
2025-07-08 12:19:19.814349,30.3,46.87,124.41,0.29
2025-07-08 12:20:19.814349,35.79,52.16,150.85,0.46
2025-07-08 12:21:19.814349,41.19,56.09,157.54,0.5
2025-07-08 12:22:19.814349,43.21,46.47,125.27,0.14
2025-07-08 12:23:19.814349,36.67,40.5,104.69,0.5
2025-07-08 12:24:19.814349,48.44,48.65,167.9,0.28
2025-07-08 12:25:19.814349,33.17,45.04,191.2,0.4
2025-07-08 12:26:19.814349,49.31,40.67,192.22,0.31
2025-07-08 12:27:19.814349,39.97,45.66,157.58,0.41
2025-07-08 12:28:19.814349,30.18,55.34,148.31,0.34
